"SNO","MATCH TYPE","DATE","Team ONE","TEAM TWO","RESULT","SCORE SUMMARY"
"1","Final","10/01/2023","Dallas Mustangs","New Jersey Somerset Cavaliers","Dallas Mustangs won by 44 Runs","Dallas Mustangs: 121/8(20.0)New Jersey Somerset Cavaliers: 77/10(18.0)"
"2","League","09/29/2023","Atlanta Lightning","The Philadelphians","Atlanta Lightning won by 1 Run","Atlanta Lightning: 128/10(18.1)The Philadelphians: 127/9(20.0)"
"3","League","09/29/2023","New Jersey Somerset Cavaliers","Atlanta Fire","New Jersey Somerset Cavaliers won by 11 Runs","New Jersey Somerset Cavaliers: 161/5(20.0)Atlanta Fire: 150/10(19.2)"
"4","League","09/29/2023","Silicon Valley Strikers","Lone Star Athletics","Lone Star Athletics won by 2 Wickets","Silicon Valley Strikers: 147/8(20.0)Lone Star Athletics: 150/8(19.4)"
"5","League","09/29/2023","Dallas Mustangs","East Bay Blazers","Dallas Mustangs won by 52 Runs","Dallas Mustangs: 152/8(20.0)East Bay Blazers: 100/10(15.4)"
"6","League","09/28/2023","Silicon Valley Strikers","Dallas Mustangs","Dallas Mustangs won by 5 Wickets","Silicon Valley Strikers: 135/5(20.0)Dallas Mustangs: 136/5(18.4)"
"7","League","09/28/2023","East Bay Blazers","Lone Star Athletics","East Bay Blazers won by 20 Runs","East Bay Blazers: 165/6(20.0)Lone Star Athletics: 145/10(19.5)"
"8","League","09/28/2023","Atlanta Lightning","New Jersey Somerset Cavaliers","New Jersey Somerset Cavaliers won by 6 Wickets","Atlanta Lightning: 124/7(20.0)New Jersey Somerset Cavaliers: 125/4(14.3)"
"9","League","09/28/2023","The Philadelphians","Atlanta Fire","Atlanta Fire won by 4 Wickets","The Philadelphians: 119/10(20.0)Atlanta Fire: 120/6(19.1)"
"10","League","09/27/2023","Atlanta Lightning","Atlanta Fire","Atlanta Fire won by 4 Wickets","Atlanta Lightning: 126/10(20.0)Atlanta Fire: 129/6(17.5)"
"11","League","09/27/2023","East Bay Blazers","Silicon Valley Strikers","East Bay Blazers won by 33 Runs","East Bay Blazers: 151/9(20.0)Silicon Valley Strikers: 118/10(19.3)"
"12","League","09/27/2023","Dallas Mustangs","Lone Star Athletics","Dallas Mustangs won by 72 Runs","Dallas Mustangs: 182/4(20.0)Lone Star Athletics: 110/10(17.5)"
"13","League","09/27/2023","The Philadelphians","New Jersey Somerset Cavaliers","Abandoned. Winner: The Philadelphians","The Philadelphians: 0/0(0.0)"
"14","Eliminator","09/26/2023","Atlanta Fire","Ft. Lauderdale Lions","Atlanta Fire won by 9 Runs","Atlanta Fire: 157/8(20.0)Ft. Lauderdale Lions: 148/7(20.0)"
"15","Eliminator","09/25/2023","Michigan Cricket Stars","Lone Star Athletics","Lone Star Athletics won by 7 Wickets","Michigan Cricket Stars: 141/6(20.0)Lone Star Athletics: 144/3(17.5)"
"16","Eliminator","09/24/2023","Lone Star Athletics","Dallas Xforia Giants","Lone Star Athletics won by 7 Runs","Lone Star Athletics: 163/6(20.0)Dallas Xforia Giants: 156/6(20.0)"
"17","Eliminator","09/23/2023","Golden State Grizzlies","Silicon Valley Strikers","Silicon Valley Strikers won by 1 Wicket","Golden State Grizzlies: 96/10(19.3)Silicon Valley Strikers: 97/9(20.0)"
"18","Eliminator","09/23/2023","New Jersey Somerset Cavaliers","New Jersey Stallions","Super Over. Winner: New Jersey Somerset Cavaliers","New Jersey Somerset Cavaliers: 119/7(14.0)New Jersey Stallions: 119/9(14.0)"
"19","Eliminator","09/22/2023","New Jersey Somerset Cavaliers","New England Eagles","New Jersey Somerset Cavaliers won by 66 Runs","New Jersey Somerset Cavaliers: 139/7(20.0)New England Eagles: 73/10(17.2)"
"20","League","09/18/2023","Silicon Valley Strikers","East Bay Blazers","Abandoned.","Silicon Valley Strikers: 0/0(0.0)"
"21","League","09/17/2023","The Philadelphians","New Jersey Somerset Cavaliers","New Jersey Somerset Cavaliers won by 7 Wickets","The Philadelphians: 86/10(19.0)New Jersey Somerset Cavaliers: 87/3(14.4)"
"22","League","09/17/2023","Chicago Kingsmen","Michigan Cricket Stars","Abandoned.","Chicago Kingsmen: 0/0(0.0)"
"23","League","09/17/2023","Seattle Thunderbolts","Golden State Grizzlies","Seattle Thunderbolts won by 8 Runs","Seattle Thunderbolts: 162/5(20.0)Golden State Grizzlies: 154/5(20.0)"
"24","League","09/17/2023","Morrisville Raptors","Ft. Lauderdale Lions","Abandoned.","Morrisville Raptors: 109/2(14.0)"
"25","League","09/17/2023","Houston Hurricanes","Lone Star Athletics","Lone Star Athletics won by 8 Wickets","Houston Hurricanes: 130/7(20.0)Lone Star Athletics: 131/2(17.5)"
"26","League","09/17/2023","New Jersey Stallions","Manhattan Yorkers","New Jersey Stallions won by 34 Runs","New Jersey Stallions: 128/10(20.0)Manhattan Yorkers: 94/9(20.0)"
"27","League","09/17/2023","New England Eagles","Empire State Titans","Forfeited. Winner: New England Eagles","New England Eagles: 0/0(0.0)"
"28","League","09/16/2023","Dallas Xforia Giants","Dallas Mustangs","Dallas Mustangs won by 5 Wickets","Dallas Xforia Giants: 123/9(20.0)Dallas Mustangs: 124/5(18.4)"
"29","League","09/16/2023","Ft. Lauderdale Lions","Morrisville Raptors","Abandoned.","Ft. Lauderdale Lions: 0/0(0.0)"
"30","League","09/16/2023","Seattle Thunderbolts","Golden State Grizzlies","Golden State Grizzlies won by 8 Wickets","Seattle Thunderbolts: 108/10(19.4)Golden State Grizzlies: 109/2(12.4)"
"31","League","09/16/2023","Michigan Cricket Stars","Chicago Kingsmen","Michigan Cricket Stars won by 38 Runs","Michigan Cricket Stars: 146/6(20.0)Chicago Kingsmen: 108/10(19.2)"
"32","League","09/16/2023","Houston Hurricanes","Lone Star Athletics","Houston Hurricanes won by 7 Runs","Houston Hurricanes: 146/5(20.0)Lone Star Athletics: 139/9(20.0)"
"33","League","09/16/2023","Empire State Titans","New England Eagles","Forfeited. Winner: New England Eagles","Empire State Titans: 0/0(0.0)"
"34","League","09/16/2023","New Jersey Stallions","The Philadelphians","The Philadelphians won by 6 Wickets","New Jersey Stallions: 111/9(20.0)The Philadelphians: 112/4(18.5)"
"35","League","09/16/2023","Silicon Valley Strikers","East Bay Blazers","East Bay Blazers won by 5 Wickets","Silicon Valley Strikers: 139/8(20.0)East Bay Blazers: 140/5(19.1)"
