#,Player,Team,Mat,Inns,NO,Runs,4's,6's,50's,100's,HS,SR,Avg
1,Sujith Gowda,East Bay Blazers,12,12,0,446,45,20,4,0,94,131.18,37.17
2,Syed Saad Ali,Chicago Kingsmen,11,11,2,423,36,19,5,0,80,137.79,47.00
3,Tajinder Singh,Chicago Kingsmen,11,9,3,395,33,14,4,0,80,146.30,65.83
4,Ruben Clinton,Seattle Thunderbolts,9,9,1,380,37,13,3,0,92,121.02,47.50
5,Sujit Nayak,Seattle Thunderbolts,11,9,3,354,20,15,3,0,84,150.64,59.00
6,Sanjay Krishnamurthi,East Bay Blazers,8,8,2,337,30,20,4,0,77,167.66,56.17
7,Shubham Ranjane,Dallas Xforia Giants,10,10,3,294,26,8,3,0,80,134.86,42.00
8,Bhaskar Yadram,The Philadelphians,8,8,4,289,23,15,3,0,67,117.48,72.25
9,Anthony Bramble,Silicon Valley Strikers,7,7,0,265,22,19,0,1,100,155.88,37.86
10,Skanda Rohit Sharma,San Diego Surf Riders,8,8,2,261,18,10,3,0,60,126.09,43.50
11,Gajanand Singh,New Jersey Somerset Cavaliers,11,11,4,258,13,23,2,0,57,144.94,36.86
12,Steven Taylor,Atlanta Fire,5,5,0,255,24,19,0,2,112,158.39,51.00
13,Chandrapaul Hemraj,New Jersey Somerset Cavaliers,11,11,0,243,28,15,0,1,108,151.88,22.09
14,Cody Chetty,Los Angeles Lashings,8,8,1,239,21,4,1,0,55,134.27,34.14
15,Rahul Jariwala,Golden State Grizzlies,8,8,0,229,20,9,2,0,90,111.17,28.62
16,Umar Akmal,San Diego Surf Riders,8,8,0,227,24,12,0,0,47,148.37,28.38
17,Ian Chauhan,Seattle Thunderbolts,11,11,0,227,29,5,0,0,44,142.77,20.64
18,Harpreet Singh,Los Angeles Lashings,8,8,0,226,23,11,1,0,79,161.43,28.25
19,Kranthi Kumar,Golden State Grizzlies,7,7,0,226,16,9,2,0,77,113.57,32.29
20,Pranay Suri,Silicon Valley Strikers,8,8,2,222,16,15,1,0,85,162.04,37.00
21,Kennar Kevon Lewis,New Jersey Somerset Cavaliers,7,7,1,220,16,18,2,0,56,133.33,36.67
22,Saif Badar,Houston Hurricanes,7,7,3,217,8,8,1,0,62,106.37,54.25
23,Kirstan Kallicharan,Los Angeles Lashings,8,8,1,214,21,6,1,0,69,104.90,30.57
24,Sharad Lumba,Baltimore Royals,7,7,2,213,22,8,2,0,61,141.06,42.60
