#,Player,Team,Mat,Inns,Overs,Runs,Wkts,BBF,Mdns,dots,Econ,Avg,SR,Hat-trick,4w,5w,Wides,Nb
1,Sankirth Batthula,Dallas Xforia Giants,10,10,38,244,20, 14/ 3,3,115,6.42,12.20,11.4,0,0,0,17,0
2,Rushil Ugarkar,East Bay Blazers,12,12,45,304,19, 13/ 3,1,127,6.76,16.00,14.2,0,0,0,9,0
3,Vikash Mohan,East Bay Blazers,12,11,33.4,184,18, 16/ 3,0,83,5.47,10.22,11.2,0,0,0,0,0
4,Mario Lobban,NYC Titans,8,8,31.3,187,18, 10/ 4,0,90,5.94,10.39,10.5,0,1,0,11,1
5,Hammad Azam,Chicago Kingsmen,11,11,40,246,18, 1/ 3,2,110,6.15,13.67,13.3,0,0,0,11,2
6,Vraj Tarak Desai,New Jersey Somerset Cavaliers,11,10,32,173,17, 17/ 4,1,106,5.41,10.18,11.3,0,1,0,8,0
7,Shubham Ranjane,Dallas Xforia Giants,10,10,38.2,214,17, 25/ 5,0,110,5.58,12.59,13.5,0,0,1,8,0
8,Atif Attarwala,Seattle Thunderbolts,11,11,44,288,17, 12/ 4,2,131,6.55,16.94,15.5,0,1,0,10,3
9,Amila Aponso,Atlanta Fire,8,8,28.2,143,16, 19/ 4,2,103,5.05,8.94,10.6,0,1,0,3,0
10,Noman Iftikhar,New England Eagles,8,8,31,207,15, 18/ 4,0,94,6.68,13.80,12.4,0,2,0,13,0
11,Ujjwal Vinnakota,St. Louis Americans,7,7,26,156,14, 40/ 4,1,72,6.00,11.14,11.1,0,1,0,7,1
12,Christopher Barnwell,Morrisville Raptors,8,8,26.3,229,14, 18/ 4,0,73,8.64,16.36,11.4,0,1,0,20,0
13,Syed Najaf Shah,New Jersey Somerset Cavaliers,9,8,21.2,93,13, 5/ 3,3,86,4.36,7.15,9.8,0,0,0,4,0
14,Soaeb Tai,Atlanta Lightning,8,8,31,154,13, 20/ 3,1,110,4.97,11.85,14.3,0,0,0,4,0
15,Muhammad Ilyas,St. Louis Americans,7,7,27,172,13, 14/ 3,1,87,6.37,13.23,12.5,0,0,0,12,0
16,Abhijai Mansingh,Seattle Thunderbolts,8,8,30,239,13, 29/ 4,0,74,7.97,18.38,13.8,0,1,0,7,0
17,Zia Ul Haq,Chicago Kingsmen,8,8,31,151,12, 13/ 3,1,114,4.87,12.58,15.5,0,0,0,10,0
18,SARBJEET LADDA,Baltimore Royals,7,7,27,140,12, 17/ 3,1,82,5.19,11.67,13.5,0,0,0,1,0
19,Siddarth Matani,New Jersey Stallions,8,8,27,184,12, 18/ 3,0,73,6.81,15.33,13.5,0,0,0,1,0
20,Adam Khan,Ft. Lauderdale Lions,6,6,21,157,12, 15/ 3,0,51,7.48,13.08,10.5,0,0,0,0,1
21,Jonathan Foo,The Philadelphians,8,7,22.1,111,11, 17/ 3,0,79,5.01,10.09,12.1,0,0,0,8,0
