"SNO","MATCH TYPE","DATE","Team ONE","TEAM TWO","RESULT","SCORE SUMMARY"
"1","Final","10/06/2024","East Bay Blazers","Chicago Kingsmen","Chicago Kingsmen won by 4 Wickets","East Bay Blazers: 172/5(20.0)Chicago Kingsmen: 173/6(18.1)"
"2","League","10/04/2024","Chicago Kingsmen","Seattle Thunderbolts","Chicago Kingsmen won by 23 Runs","Chicago Kingsmen: 183/5(20.0)Seattle Thunderbolts: 160/7(20.0)"
"3","League","10/04/2024","New Jersey Stallions","Baltimore Royals","Baltimore Royals won by 6 Wickets","New Jersey Stallions: 102/10(18.5)Baltimore Royals: 103/4(7.1)"
"4","League","10/04/2024","Morrisville Raptors","Dallas Xforia Giants","Dallas Xforia Giants won by 3 Wickets","Morrisville Raptors: 150/10(20.0)Dallas Xforia Giants: 152/7(19.4)"
"5","League","10/03/2024","Chicago Kingsmen","Baltimore Royals","Chicago Kingsmen won by 18 Runs","Chicago Kingsmen: 195/5(20.0)Baltimore Royals: 177/10(19.5)"
"6","League","10/03/2024","New Jersey Somerset Cavaliers","East Bay Blazers","New Jersey Somerset Cavaliers won by 2 Runs","New Jersey Somerset Cavaliers: 136/9(20.0)East Bay Blazers: 134/7(20.0)"
"7","League","10/03/2024","New Jersey Stallions","Seattle Thunderbolts","Seattle Thunderbolts won by 5 Wickets","New Jersey Stallions: 142/7(20.0)Seattle Thunderbolts: 143/5(13.3)"
"8","League","10/02/2024","Dallas Xforia Giants","East Bay Blazers","East Bay Blazers won by 4 Wickets","Dallas Xforia Giants: 142/6(20.0)East Bay Blazers: 143/6(16.5)"
"9","League","10/02/2024","New Jersey Somerset Cavaliers","Morrisville Raptors","Morrisville Raptors won by 3 Wickets","New Jersey Somerset Cavaliers: 147/7(20.0)Morrisville Raptors: 149/7(19.1)"
"10","League","10/02/2024","Chicago Kingsmen","New Jersey Stallions","Chicago Kingsmen won by 90 Runs","Chicago Kingsmen: 126/10(20.0)New Jersey Stallions: 36/9(11.0)"
"11","League","10/01/2024","New Jersey Somerset Cavaliers","Dallas Xforia Giants","New Jersey Somerset Cavaliers won by 6 Runs","New Jersey Somerset Cavaliers: 160/9(20.0)Dallas Xforia Giants: 154/9(20.0)"
"12","League","10/01/2024","Morrisville Raptors","East Bay Blazers","East Bay Blazers won by 6 Wickets","Morrisville Raptors: 144/9(20.0)East Bay Blazers: 145/4(17.3)"
"13","League","10/01/2024","Seattle Thunderbolts","Baltimore Royals","Baltimore Royals won by 4 Wickets","Seattle Thunderbolts: 146/10(18.3)Baltimore Royals: 149/6(19.5)"
"14","League","09/29/2024","Los Angeles Lashings","San Diego Surf Riders","San Diego Surf Riders won by 8 Wickets","Los Angeles Lashings: 127/10(19.5)San Diego Surf Riders: 131/2(12.4)"
