SNO,TEAM,MAT,WON,LOST,N/R,TIE,PTS,WIN%,NET RR,FOR,AGAINST
1,New Jersey Somerset Cavaliers,8,6,2,0,0,12.0,75.00%,1.9189,1156/150.1,890/154.0
2,New Jersey Stallions,8,6,2,0,0,12.0,75.00%,1.0615,1052/150.2,932/157.0
3,The Philadelphians,8,5,3,0,0,10.0,62.50%,0.6841,1095/156.0,983/155.1
4,Manhattan Yorkers,8,3,5,0,0,6.0,37.50%,-0.6221,942/160.0,1022/157.0
5,New England Eagles,8,2,6,0,0,4.0,25.00%,-1.458,921/160.0,1111/154.0
6,NYC Titans,8,2,6,0,0,4.0,25.00%,-1.5515,831/150.0,1059/149.2
7,East Bay Blazers,8,6,2,0,0,12.0,75.00%,1.4731,1068/142.1,925/153.1
8,Seattle Thunderbolts,8,6,2,0,0,12.0,75.00%,0.5249,1237/153.4,1204/160.0
9,Silicon Valley Strikers,8,4,4,0,0,8.0,50.00%,0.5284,1307/159.1,1196/155.4
10,San Diego Surf Riders,8,4,4,0,0,8.0,50.00%,0.1646,1242/150.1,1297/160.0
11,Los Angeles Lashings,8,2,6,0,0,4.0,25.00%,-0.7381,1242/160.0,1251/147.1
12,Golden State Grizzlies,8,2,6,0,0,4.0,25.00%,-2.0007,1108/159.5,1331/149.0
13,Baltimore Royals,8,4,1,3,0,11.0,80.00%,0.9079,695/96.0,630/99.3
14,Morrisville Raptors,8,4,1,3,0,11.0,80.00%,0.7246,562/76.5,525/79.4
15,Atlanta Fire,8,5,3,0,0,10.0,62.50%,1.2478,1139/142.0,981/144.5
16,Atlanta Lightning,8,4,4,0,0,8.0,50.00%,-0.233,900/142.5,991/151.4
17,Ft. Lauderdale Lions,8,1,5,2,0,4.0,16.67%,-0.9222,872/120.0,954/116.3
18,Orlando Galaxy,8,0,4,4,0,4.0,0.00%,-2.6925,493/80.0,580/65.3
19,Chicago Kingsmen,8,7,0,1,0,15.0,100.00%,2.0302,1014/121.0,889/140.0
20,Dallas Xforia Giants,8,5,2,1,0,11.0,71.43%,0.9553,999/133.0,908/138.3
21,St. Louis Americans,8,5,2,1,0,11.0,71.43%,0.5889,1023/124.1,1071/140.0
22,Houston Hurricanes,8,4,3,1,0,9.0,57.14%,0.2087,957/135.4,915/133.4
23,Lone Star Athletics,8,2,4,2,0,6.0,33.33%,-0.7283,748/112.4,819/111.1
24,Chicago Tigers,8,1,6,1,0,3.0,14.29%,-1.3737,899/140.0,951/122.0
25,Michigan Cricket Stars,8,0,7,1,0,1.0,0.00%,-1.7417,922/140.0,1009/121.1
